,date,calories,steps,dist,floors,sedant,active_light,active_fair,active_very,active_cals,sleep_start_hr,sleep_minutesAsleep,sleep_minutesAwake,sleep_awakeningsCount,sleep_timeInBed,sleep_REM,sleep_light,sleep_deep,sleep_start,sleep_efficiency
175,2018-02-23,2858,11739,8.72,32,964,212,26,52,1474,0.32,174.0,12.0,1.0,186.0,,,,00:19,94.0
176,2018-02-24,3739,18742,13.97,15,437,305,31,116,2519,0.02,476.0,75.0,3.0,551.0,,,,00:01,86.0
177,2018-02-25,2665,8072,6.0,5,625,352,0,0,1360,2.82,381.0,82.0,42.0,463.0,44.0,251.0,86.0,02:49,82.0
178,2018-02-26,2518,7458,5.54,24,756,150,63,24,1119,0.33,390.0,57.0,27.0,447.0,87.0,224.0,79.0,00:20,87.0
179,2018-02-27,2620,8015,5.96,20,876,110,10,15,638,0.57,369.0,60.0,37.0,429.0,59.0,221.0,89.0,00:34,86.0
180,2018-02-28,3456,11501,8.33,32,1440,0,0,0,0,,,,,,,,,,
181,2018-01-01,2537,6755,5.02,0,672,267,23,9,1176,4.15,388.0,81.0,43.0,469.0,63.0,252.0,73.0,04:09,83.0
182,2018-01-02,2490,6174,4.59,0,591,269,15,2,1100,2.23,486.0,77.0,29.0,563.0,63.0,285.0,79.0,02:14,85.0
183,2018-01-03,3150,12051,9.24,16,755,189,23,81,1759,1.95,336.0,56.0,26.0,392.0,57.0,233.0,46.0,01:57,86.0
184,2018-01-04,3189,11118,8.26,7,454,322,73,39,1958,1.0,466.0,86.0,38.0,552.0,105.0,258.0,103.0,01:00,84.0
185,2018-01-05,2886,9983,7.42,29,723,238,29,46,1515,1.42,341.0,63.0,28.0,404.0,51.0,209.0,81.0,01:25,84.0
186,2018-01-06,2435,4979,3.7,0,649,269,6,5,999,1.63,462.0,48.0,3.0,511.0,,,,01:38,91.0
187,2018-01-07,2519,7652,5.69,0,661,257,16,6,1149,1.88,447.0,53.0,2.0,500.0,,,,01:53,89.0
188,2018-01-08,3257,12480,9.15,23,654,224,52,75,1926,0.58,384.0,50.0,3.0,435.0,,,,00:35,88.0
189,2018-01-09,2748,9117,6.77,18,748,174,48,57,1355,0.87,343.0,70.0,23.0,413.0,62.0,167.0,114.0,00:52,83.0
190,2018-01-10,2764,10041,7.49,24,727,240,19,23,1371,0.65,376.0,55.0,28.0,431.0,58.0,243.0,75.0,00:39,87.0
191,2018-01-11,3220,11359,8.45,14,710,162,36,118,1845,1.15,364.0,50.0,29.0,414.0,64.0,212.0,88.0,01:09,88.0
192,2018-01-12,3151,12323,9.2,17,671,230,39,75,1839,0.67,358.0,67.0,28.0,425.0,66.0,243.0,49.0,00:40,84.0
193,2018-01-13,3314,14556,10.89,7,596,216,38,120,1999,2.17,407.0,63.0,31.0,470.0,76.0,264.0,67.0,02:10,87.0
194,2018-01-14,2490,7080,5.26,6,777,100,20,13,577,0.85,473.0,57.0,42.0,530.0,91.0,289.0,93.0,00:51,89.0
195,2018-01-15,3156,10991,8.28,27,1440,0,0,0,0,,,,,,,,,,
196,2018-01-16,2550,8951,6.65,15,940,145,16,29,878,2.18,301.0,9.0,1.0,310.0,,,,02:11,97.0
197,2018-01-17,3122,11637,8.67,28,718,156,54,86,1761,0.72,373.0,44.0,2.0,426.0,,,,00:43,89.0
198,2018-01-18,2782,11247,8.39,44,776,211,15,43,1364,1.02,370.0,21.0,1.0,395.0,,,,01:01,95.0
